edge_slice_demand;k_1= (3,12,6);k_2= (7,2,4);k_3= (9,2,3);k_4= (10,8,4);k_5= (7,12,6);k_6= (2,5,4);k_7= (18,3,4);k_8= (16,6,6);k_9= (17,5,4);k_10= (12,13,3);k_11= (8,1,4);k_12= (17,5,4);k_13= (15,1,4);k_14= (16,2,3);k_15= (10,2,3);k_16= (6,5,4);k_17= (7,11,6);k_18= (16,8,4);k_19= (15,17,4);k_20= (4,2,3);k_21= (8,9,3);k_22= (12,5,6);k_23= (4,2,3);k_24= (4,17,6);k_25= (2,12,6);k_26= (13,14,6);k_27= (5,11,4);k_28= (3,12,6);k_29= (4,7,4);k_30= (16,3,6);k_31= (16,7,3);k_32= (9,4,3);k_33= (1,14,6);k_34= (6,8,6);k_35= (7,17,6);k_36= (5,10,3);k_37= (6,3,3);k_38= (18,11,4);k_39= (7,13,6);k_40= (14,6,6);k_41= (6,13,6);k_42= (4,8,4);k_43= (12,13,3);k_44= (17,18,3);k_45= (7,12,6);k_46= (10,1,4);k_47= (12,15,6);k_48= (5,8,4);k_49= (9,13,6);k_50= (1,5,3);k_51= (9,13,6);k_52= (10,16,3);k_53= (17,14,4);k_54= (8,5,4);k_55= (9,16,3);k_56= (13,15,6);k_57= (10,14,6);k_58= (8,18,4);k_59= (8,4,4);k_60= (13,8,6);k_61= (6,15,6);k_62= (9,12,6);k_63= (7,15,6);k_64= (8,2,4);k_65= (16,11,4);k_66= (15,3,6);k_67= (16,12,6);k_68= (9,14,6);k_69= (7,3,6);k_70= (15,7,6);k_71= (2,18,4);k_72= (4,16,3);k_73= (13,15,6);k_74= (17,5,4);k_75= (3,15,6);k_76= (6,4,6);k_77= (4,14,6);k_78= (6,1,6);k_79= (13,11,6);k_80= (14,2,6);k_81= (16,14,6);k_82= (7,17,6);k_83= (2,9,3);k_84= (15,1,4);k_85= (15,17,4);k_86= (15,6,6);k_87= (13,16,6);k_88= (5,11,4);k_89= (18,15,4);k_90= (7,4,4);
[1,5]; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,15]; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ;
[1,17]; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;
[1,18]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ;1; ; ;1; ;
[2,4];1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,9]; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,10];1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ;
[2,16]; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
