index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;15;17;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
2;17;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
3;16;6;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
4;6;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
5;16;12;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
6;9;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
7;9;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
8;16;11;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
9;3;14;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
10;13;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
11;10;7;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
12;7;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
13;16;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
14;15;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
15;3;5;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
16;13;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
17;11;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
18;1;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
19;16;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
20;10;13;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
21;2;6;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
22;9;3;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
23;14;2;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
24;10;12;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
25;1;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
26;5;8;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
27;7;1;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
28;10;8;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
29;16;11;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
30;6;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
31;6;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
32;8;10;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
33;3;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
34;9;4;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
35;12;10;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
36;1;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
37;1;10;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
38;14;3;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
39;16;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
40;11;6;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
41;6;13;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
42;17;8;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
43;1;12;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
44;9;4;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
45;4;5;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
46;11;1;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
47;4;16;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
48;12;3;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
49;1;13;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
50;12;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
51;5;13;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
52;11;1;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
53;2;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
54;16;10;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
55;1;12;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
56;10;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
57;6;17;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
58;9;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
59;8;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
60;6;17;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
61;8;3;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
62;13;6;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
63;8;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
64;11;8;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
65;2;6;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
66;4;10;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
67;7;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
68;10;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
69;15;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
70;14;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
71;8;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
72;16;6;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
73;15;12;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
74;14;7;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
75;5;6;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
76;8;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
77;13;6;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
78;1;11;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
79;6;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
80;11;8;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
81;12;17;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
82;2;13;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
83;3;12;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
84;2;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
85;2;8;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
86;14;3;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
87;15;1;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
88;15;13;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
89;14;2;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
90;12;5;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
91;5;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
92;15;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
93;10;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
94;13;14;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
95;13;10;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
96;11;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
97;3;1;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
98;10;12;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
99;17;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
100;6;7;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1

Nb_Served_Demands;100
Nb_Blocked_Demands;0
Nb_Served_Slices;352
Nb_Blocked_Slices;0
