edge_slice_demand;k_1= (12,6,4);k_2= (10,12,3);k_3= (11,16,4);k_4= (2,7,4);k_5= (10,14,4);k_6= (12,14,3);k_7= (4,11,4);k_8= (2,8,4);k_9= (12,8,3);k_10= (6,1,3);k_11= (17,10,3);k_12= (17,16,3);k_13= (9,4,3);k_14= (15,17,3);k_15= (9,4,3);k_16= (10,7,4);k_17= (8,7,3);k_18= (2,4,3);k_19= (9,14,4);k_20= (6,14,4);
[1,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,9]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
[2,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;
[2,5]; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[3,5]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,5]; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ;
[4,10]; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,9]; ; ; ;1; ; ; ;1; ; ; ; ;1; ;1; ; ; ; ;1;
[5,10]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,11]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[6,7];1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[6,9]; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1;
[7,8];1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ;
[8,9]; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ;
[8,11];1; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ;1; ;
[10,11]; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ;
[10,13]; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;
[11,12];1;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1;1;
[11,13]; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[12,14]; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1;1;
[13,15]; ; ;1; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[13,17]; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ;
[14,15]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[15,16]; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[16,17]; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;
 slice allocation ;20;10;4;7;12;20;18;12;7;3;3;3;3;7;20;14;3;3;4;16;
