index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;3;6;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
2;8;12;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
3;13;5;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
4;11;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
5;8;5;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
6;5;16;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
7;1;17;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
8;8;6;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
9;3;5;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
10;1;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
11;6;5;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
12;8;6;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
13;11;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
14;14;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
15;7;16;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
16;13;7;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
17;8;5;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
18;16;17;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
19;7;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
20;3;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1

Nb_Served_Demands;20
Nb_Blocked_Demands;0
Nb_Served_Slices;68
Nb_Blocked_Slices;0
