edge_slice_demand;k_1= (4,3,6);k_2= (11,8,6);k_3= (12,6,6);k_4= (1,4,6);k_5= (1,8,6);k_6= (9,6,6);k_7= (2,14,3);k_8= (3,14,3);k_9= (1,3,6);k_10= (11,6,3);k_11= (11,7,6);k_12= (1,11,3);k_13= (3,12,3);k_14= (13,4,3);k_15= (7,4,6);k_16= (12,3,3);k_17= (1,11,3);k_18= (10,11,6);k_19= (9,11,6);k_20= (2,3,4);
[1,2]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;
[1,3]; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[1,8]; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;
[2,3];1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1;
[2,4];1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;
[3,6]; ; ; ; ; ; ;1;1; ; ; ; ;1; ; ;1; ; ; ; ;
[4,5]; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ;
[4,11]; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;1; ; ; ;
[5,6]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
[5,7]; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;
[6,10]; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[6,13]; ; ;1; ; ; ; ;1; ; ; ; ;1; ; ;1; ; ; ; ;
[7,8]; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;
[8,9]; ;1; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;
[9,10]; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;
[9,12]; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ;1; ;
[9,14]; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ;
[11,12]; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ;1; ;
[11,14]; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;
[12,13]; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ;
[13,14]; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ;
 slice allocation ;15;6;12;9;6;6;9;6;6;12;12;15;3;9;6;15;3;15;6;4;
