edge_slice_demand;k_1= (14,10,6);k_2= (4,1,6);k_3= (4,3,6);k_4= (14,13,3);k_5= (11,4,6);k_6= (2,11,3);k_7= (5,6,4);k_8= (11,9,6);k_9= (10,9,4);k_10= (5,10,6);k_11= (11,2,3);k_12= (5,7,4);k_13= (10,12,6);k_14= (10,1,3);k_15= (3,2,4);k_16= (8,10,6);k_17= (5,3,6);k_18= (13,5,3);k_19= (13,12,3);k_20= (10,5,6);k_21= (9,11,6);k_22= (9,1,3);k_23= (2,9,3);k_24= (4,14,3);k_25= (14,12,4);k_26= (7,8,4);k_27= (7,11,6);k_28= (3,1,6);k_29= (10,11,6);k_30= (2,7,6);
[1,2]; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[1,3]; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;
[1,8]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ;
[2,3]; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,4]; ;1;1; ; ;1; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1;
[3,6]; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,5]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1;
[4,11]; ; ; ; ;1;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[5,6]; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ;
[5,7]; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[6,10]; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
[6,13]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[7,8]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ;
[8,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1;1; ; ; ;1; ; ; ;
[9,10];1; ; ; ; ; ; ; ;1; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ;
[9,12]; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;
[9,14];1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ;
[11,12]; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;
[11,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1; ; ; ;
[12,13]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ;
[13,14]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;
 slice allocation ;30;6;18;3;23;27;30;30;24;6;30;30;14;30;30;20;24;9;3;25;24;29;25;11;30;30;6;6;6;12;
