index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;5;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
2;7;5;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
3;7;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
4;3;8;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
5;2;1;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
6;8;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
7;7;5;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
8;9;10;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
9;11;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
10;9;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
11;9;13;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
12;1;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
13;3;2;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
14;12;4;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
15;10;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
16;9;10;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
17;10;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
18;13;11;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
19;10;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
20;14;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
21;2;8;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
22;10;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
23;5;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
24;10;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
25;12;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
26;4;5;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
27;5;2;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
28;14;11;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
29;9;14;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
30;3;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
31;8;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
32;8;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
33;7;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
34;8;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
35;4;1;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
36;7;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
37;7;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
38;2;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
39;1;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
40;13;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
41;5;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
42;10;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
43;8;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
44;13;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
45;6;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
46;4;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
47;7;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
48;2;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
49;11;13;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
50;3;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
51;7;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
52;13;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
53;3;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
54;8;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
55;12;13;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
56;13;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
57;11;12;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
58;2;10;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
59;8;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
60;1;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
61;1;2;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
62;13;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
63;10;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
64;3;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
65;4;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
66;12;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
67;9;12;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
68;4;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
69;11;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
70;13;5;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
71;9;12;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
72;6;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
73;11;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
74;13;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
75;5;3;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
76;2;8;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
77;10;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
78;7;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
79;13;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
80;5;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0

Nb_Served_Demands;0
Nb_Blocked_Demands;80
Nb_Served_Slices;0
Nb_Blocked_Slices;362
