index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;10;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
2;6;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
3;5;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
4;10;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
5;10;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
6;9;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
7;12;11;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
8;6;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
9;12;11;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
10;3;10;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
11;3;8;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
12;13;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
13;4;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
14;8;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
15;13;4;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
16;12;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
17;1;3;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
18;2;8;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
19;8;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
20;7;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
21;7;9;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
22;5;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
23;7;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
24;12;13;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
25;13;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
26;5;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
27;11;9;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
28;7;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
29;9;13;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
30;5;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
31;10;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
32;11;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
33;6;2;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
34;9;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
35;10;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
36;5;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
37;14;12;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
38;10;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
39;13;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
40;14;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
41;1;10;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
42;3;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
