edge_slice_demand;k_1= (13,12,3);k_2= (8,12,6);k_3= (13,5,3);k_4= (5,8,3);k_5= (3,8,3);k_6= (1,16,3);k_7= (17,9,4);k_8= (5,18,6);k_9= (11,6,3);k_10= (16,7,6);k_11= (13,1,6);k_12= (6,13,3);k_13= (17,13,3);k_14= (4,10,3);k_15= (9,8,3);k_16= (3,8,3);k_17= (11,16,3);k_18= (9,5,4);k_19= (15,4,6);k_20= (15,10,6);k_21= (15,2,3);k_22= (4,13,6);k_23= (4,5,3);k_24= (10,3,6);k_25= (14,10,6);k_26= (13,1,3);k_27= (13,9,6);k_28= (13,5,3);k_29= (2,17,3);k_30= (18,3,4);k_31= (6,9,3);k_32= (3,4,6);k_33= (10,15,3);k_34= (10,1,4);k_35= (8,2,4);k_36= (5,9,3);k_37= (9,3,3);k_38= (17,6,3);k_39= (3,14,3);k_40= (14,6,6);k_41= (17,2,6);k_42= (11,1,6);k_43= (1,11,3);k_44= (11,2,3);k_45= (10,7,6);k_46= (11,6,3);k_47= (15,12,6);k_48= (10,13,6);k_49= (8,1,4);k_50= (13,15,6);k_51= (7,4,6);k_52= (15,11,6);k_53= (18,12,3);k_54= (15,18,6);k_55= (17,6,6);k_56= (13,18,3);k_57= (3,8,3);k_58= (17,9,6);k_59= (2,1,4);k_60= (16,13,3);k_61= (9,7,6);k_62= (5,18,6);k_63= (5,4,6);k_64= (8,1,6);k_65= (9,14,3);k_66= (18,4,4);k_67= (17,13,6);k_68= (7,10,6);k_69= (13,18,6);k_70= (15,12,6);k_71= (10,6,6);k_72= (3,12,6);k_73= (1,16,3);k_74= (13,2,3);k_75= (13,16,6);k_76= (18,12,3);k_77= (6,3,6);k_78= (1,17,6);k_79= (15,4,4);k_80= (14,1,3);k_81= (6,10,6);k_82= (11,6,6);k_83= (12,6,3);k_84= (11,1,6);k_85= (4,7,6);k_86= (18,13,6);k_87= (10,9,6);k_88= (16,6,6);k_89= (10,11,6);k_90= (4,6,6);k_91= (15,3,6);k_92= (14,4,6);k_93= (16,8,6);k_94= (15,7,6);k_95= (13,3,6);k_96= (8,9,3);k_97= (8,18,6);k_98= (13,7,3);k_99= (4,3,6);k_100= (11,16,3);
[1,5]; ; ; ;1;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;
[1,15]; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ;1; ; ; ;1; ;1; ; ; ;
[1,17]; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;
[1,18]; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ;1; ;1; ; ; ;
[2,4]; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,10]; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,16]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
