edge_slice_demand;k_1= (15,8,6);k_2= (14,10,3);k_3= (16,2,3);k_4= (5,1,6);k_5= (14,8,3);k_6= (13,2,6);k_7= (11,18,4);k_8= (18,5,3);k_9= (11,17,3);k_10= (4,2,3);
[1,5]; ; ; ;1; ; ; ; ; ; ;
[1,14]; ; ; ; ; ; ; ; ; ; ;
[1,15]; ; ; ; ; ; ; ; ; ; ;
[1,17]; ; ; ; ; ; ; ; ;1; ;
[1,18]; ; ; ; ; ; ; ; ;1; ;
[2,4]; ; ; ; ; ;1; ; ; ; ;
[2,5]; ; ; ; ; ; ; ; ; ; ;
[2,9]; ; ; ; ; ; ; ; ; ;1;
[2,10]; ; ; ; ; ; ; ; ; ; ;
[2,16]; ; ;1; ; ; ; ; ; ; ;
[3,5]; ; ; ; ; ; ; ; ;1; ;
[3,6]; ; ; ; ; ; ; ; ;1; ;
[3,11]; ; ; ; ; ; ;1; ; ; ;
[3,18]; ; ; ; ; ; ;1; ; ; ;
[4,7]; ; ; ; ; ; ; ; ; ; ;
[4,9]; ; ; ; ; ; ; ; ; ;1;
[4,12]; ; ; ; ; ; ; ; ; ; ;
[4,13]; ; ; ; ; ;1; ; ; ; ;
[4,15]; ; ; ; ; ; ; ; ; ; ;
[4,16]; ; ; ; ; ; ; ; ; ; ;
[5,9]; ; ; ; ; ; ; ; ; ; ;
[5,10]; ; ; ; ; ; ; ; ; ; ;
[5,18]; ; ; ; ; ; ; ;1;1; ;
[6,11]; ; ; ; ; ; ; ; ;1; ;
[7,11]; ; ; ; ; ; ; ; ; ; ;
[7,16]; ; ; ; ; ; ; ; ; ; ;
[8,12]; ; ; ; ; ; ; ; ; ; ;
[8,13]; ; ; ; ; ; ; ; ; ; ;
[8,14]; ; ; ; ;1; ; ; ; ; ;
[8,17]; ; ; ; ; ; ; ; ; ; ;
[9,10]; ;1; ; ; ; ; ; ; ; ;
[9,15]; ;1; ; ; ; ; ; ; ; ;
[10,16]; ; ; ; ; ; ; ; ; ; ;
[11,16]; ; ; ; ; ; ; ; ; ; ;
[12,13]; ; ; ; ; ; ; ; ; ; ;
[13,15]; ; ; ; ; ; ; ; ; ; ;
[14,17]; ;1; ; ; ; ; ; ; ; ;
[14,18]; ; ; ; ; ; ; ; ; ; ;
[15,17]; ;1; ; ; ; ; ; ; ; ;
[8,15];1; ; ; ; ; ; ; ; ; ;
 slice allocation ;6;3;3;6;3;6;5;6;3;3;
