index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;15;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
2;7;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
3;2;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
4;11;17;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
5;18;11;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
6;10;16;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
7;16;3;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
8;17;18;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
9;16;12;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
10;17;10;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
11;18;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
12;2;4;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
13;10;2;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
14;8;10;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
15;11;6;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
16;4;3;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
17;16;10;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
18;4;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
19;6;4;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
20;3;16;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
21;18;17;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
22;17;3;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
23;10;2;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
24;7;11;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
25;9;6;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
26;17;18;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
27;10;15;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
28;1;18;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
29;18;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
30;15;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1

Nb_Served_Demands;30
Nb_Blocked_Demands;0
Nb_Served_Slices;127
Nb_Blocked_Slices;0
