edge_slice_demand;k_1= (17,16,6);k_2= (18,16,6);k_3= (12,11,3);k_4= (14,18,3);k_5= (17,9,6);k_6= (2,12,6);k_7= (3,16,6);k_8= (2,6,6);k_9= (3,13,6);k_10= (13,9,6);k_11= (13,9,3);k_12= (18,9,6);k_13= (7,14,3);k_14= (9,11,6);k_15= (5,14,6);k_16= (9,2,3);k_17= (17,11,6);k_18= (5,12,6);k_19= (1,8,6);k_20= (17,15,6);k_21= (13,8,3);k_22= (9,17,4);k_23= (10,15,6);k_24= (13,4,3);k_25= (17,10,6);k_26= (5,2,3);k_27= (17,11,3);k_28= (4,6,3);k_29= (3,10,6);k_30= (14,4,3);k_31= (17,7,3);k_32= (10,3,4);k_33= (2,13,6);k_34= (4,13,3);k_35= (7,4,4);k_36= (15,4,3);k_37= (17,5,6);k_38= (8,13,3);k_39= (11,12,3);k_40= (18,6,4);k_41= (4,12,6);k_42= (3,8,6);k_43= (15,9,6);k_44= (15,18,4);k_45= (17,7,3);k_46= (16,12,3);k_47= (6,1,6);k_48= (6,7,3);k_49= (5,9,6);k_50= (11,3,6);k_51= (16,11,6);k_52= (17,16,3);k_53= (9,17,6);k_54= (18,5,6);k_55= (4,9,6);k_56= (10,11,3);k_57= (6,15,6);k_58= (4,9,3);k_59= (2,10,6);k_60= (3,9,4);k_61= (12,17,6);k_62= (2,15,6);k_63= (4,3,6);k_64= (11,12,3);k_65= (7,8,6);k_66= (12,10,6);k_67= (2,5,4);k_68= (9,4,3);k_69= (9,18,6);k_70= (8,5,3);k_71= (8,16,6);k_72= (18,2,3);k_73= (6,17,3);k_74= (16,11,4);k_75= (3,6,6);k_76= (4,14,6);k_77= (16,6,6);k_78= (1,16,6);k_79= (14,7,3);k_80= (3,8,3);k_81= (9,18,6);k_82= (10,12,6);k_83= (13,12,3);k_84= (6,13,6);k_85= (1,6,6);k_86= (9,18,4);k_87= (16,13,3);k_88= (4,9,6);k_89= (3,4,6);k_90= (10,4,6);
[1,5]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,15]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[1,17]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
[1,18]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ;
[2,4]; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[2,5]; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[2,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,10]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,16]; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
