edge_slice_demand;k_1= (10,4,6);k_2= (13,7,4);k_3= (5,17,4);k_4= (5,10,3);k_5= (15,3,3);k_6= (16,6,3);k_7= (3,10,6);k_8= (1,8,3);k_9= (15,4,3);k_10= (4,6,4);k_11= (6,17,6);k_12= (15,17,3);k_13= (5,6,3);k_14= (3,11,6);k_15= (13,1,4);k_16= (8,16,3);k_17= (7,10,4);k_18= (14,15,6);k_19= (13,1,6);k_20= (8,13,3);k_21= (11,9,6);k_22= (14,6,3);k_23= (11,17,6);k_24= (3,11,3);k_25= (2,17,6);k_26= (14,2,4);k_27= (5,1,3);k_28= (17,4,6);k_29= (8,11,3);k_30= (4,9,6);k_31= (14,1,3);k_32= (17,7,4);k_33= (3,9,3);k_34= (9,13,3);k_35= (13,6,3);k_36= (15,3,4);k_37= (6,3,3);k_38= (2,5,6);k_39= (16,15,3);k_40= (1,2,6);
[1,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ;1;
[1,9]; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ;
[2,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[2,4]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ;
[3,5]; ; ; ; ;1; ;1; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ;1;1; ; ; ;
[4,5]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
[4,10];1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[5,9]; ; ; ; ; ; ; ; ; ;1;1; ;1; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ;1;1; ; ; ; ; ;1; ; ; ;
[5,10]; ; ;1;1; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;
[5,11]; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1;1; ;1; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ;
[6,7]; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;
[6,9]; ; ; ; ; ; ; ; ; ;1;1; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;
[7,8]; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ;
[8,9]; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[8,11]; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1;1;1; ; ;1; ; ; ; ; ; ; ; ;1; ; ;1; ;1;1; ; ; ; ; ;
[10,11]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[10,13]; ; ;1; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ;
[11,12]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ;
[11,13]; ;1; ; ;1;1; ; ; ; ; ; ; ; ;1;1; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ;
[12,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ;
[13,15]; ; ; ; ;1;1; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;
[13,17]; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;
[14,15]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[15,16]; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;
[16,17]; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 slice allocation ;18;40;26;11;25;8;6;25;11;27;33;17;37;37;4;31;19;6;22;15;12;6;22;30;8;16;12;40;22;19;22;12;15;34;28;16;40;6;37;28;
