edge_slice_demand;k_1= (14,9,4);k_2= (7,16,4);k_3= (6,2,6);k_4= (2,6,3);k_5= (2,6,3);k_6= (10,15,6);k_7= (15,17,3);k_8= (15,5,6);k_9= (15,8,4);k_10= (15,10,3);k_11= (10,4,6);k_12= (7,11,3);k_13= (17,1,3);k_14= (4,8,6);k_15= (12,2,6);k_16= (17,10,3);k_17= (4,10,3);k_18= (5,9,6);k_19= (14,3,4);k_20= (12,16,6);k_21= (7,1,6);k_22= (5,13,3);k_23= (17,3,3);k_24= (7,14,3);k_25= (4,5,6);k_26= (15,2,6);k_27= (11,14,3);k_28= (7,2,3);k_29= (15,1,3);k_30= (4,17,3);k_31= (3,16,3);k_32= (16,13,6);k_33= (14,9,6);k_34= (15,13,3);k_35= (12,14,3);k_36= (14,7,4);k_37= (3,15,3);k_38= (2,8,3);k_39= (14,1,3);k_40= (4,14,6);k_41= (2,6,3);k_42= (13,8,3);k_43= (7,14,6);k_44= (9,2,6);k_45= (15,13,3);k_46= (7,11,3);k_47= (7,12,3);k_48= (9,8,3);k_49= (2,16,4);k_50= (9,5,6);k_51= (9,2,3);k_52= (1,6,3);k_53= (14,12,6);k_54= (2,17,3);k_55= (14,16,6);k_56= (3,8,3);k_57= (17,8,4);k_58= (15,7,6);k_59= (15,11,3);k_60= (13,9,6);k_61= (8,6,3);k_62= (4,3,3);k_63= (10,9,6);k_64= (13,3,3);k_65= (17,2,3);k_66= (6,4,6);k_67= (8,6,3);k_68= (10,13,3);k_69= (16,8,4);k_70= (6,10,6);
[1,3]; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;
[2,5]; ; ;1;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;
[3,5]; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ;1; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[4,5]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;
[4,10]; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,9]; ; ;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1; ; ; ; ; ;1;1; ; ; ; ;1; ; ; ;1; ; ;1; ; ;1; ; ; ;1;
[5,10]; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;1; ; ; ; ; ;1;
