index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;7;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
2;2;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
3;6;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
4;12;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
5;3;7;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
6;4;2;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
7;10;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
8;3;9;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
9;5;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
10;10;5;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
11;5;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
12;7;14;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
13;6;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
14;8;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
15;2;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
16;3;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
17;10;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
18;3;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
19;5;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
20;3;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
21;2;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
22;2;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
23;7;9;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
24;1;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
25;14;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
26;9;11;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
27;11;10;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
28;1;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
29;2;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
30;7;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
31;4;8;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
32;2;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
33;8;13;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
34;2;5;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
35;8;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
36;2;6;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
37;7;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
38;13;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
39;13;7;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
40;1;9;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
41;4;1;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
42;6;13;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
43;10;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
44;7;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
45;14;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
46;10;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
47;12;11;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
48;3;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
49;2;10;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
50;11;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
51;14;4;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
52;12;6;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
53;3;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
54;13;11;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
55;13;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
56;10;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
57;8;4;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
58;2;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
59;3;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
60;3;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
61;7;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
62;4;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
63;11;7;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
64;6;3;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
65;11;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
66;1;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
67;3;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
68;1;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
69;14;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
70;5;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
71;9;10;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
72;7;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
73;14;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
74;8;12;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
75;13;12;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
76;9;14;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
77;2;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
78;1;9;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
79;14;13;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
80;9;11;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
81;10;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
82;2;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
83;2;8;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
84;4;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
85;5;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
86;11;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
87;14;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
88;7;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
89;12;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
90;12;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
91;9;8;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
92;13;14;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
93;13;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
94;5;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
95;14;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
96;8;13;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
97;5;9;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
98;7;8;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
99;7;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
100;11;13;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1

Nb_Served_Demands;100
Nb_Blocked_Demands;0
Nb_Served_Slices;405
Nb_Blocked_Slices;0
