index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;6;3;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
2;5;7;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
3;14;11;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
4;14;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
5;5;10;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
6;12;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
7;12;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
8;12;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
9;7;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
10;13;8;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
11;5;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
12;14;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
13;8;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
14;3;6;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
15;11;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
16;10;5;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
17;2;8;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
18;2;5;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
19;14;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
20;5;8;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
21;2;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
22;1;3;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
23;3;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
24;14;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
25;4;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
26;14;13;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
27;4;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
28;12;11;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
29;14;4;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
30;8;10;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
31;9;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
32;9;12;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
33;14;10;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
34;3;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
35;10;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
36;12;11;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
37;7;6;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
38;12;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
39;10;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
40;6;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
41;3;9;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
42;14;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
43;13;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
44;2;3;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
45;7;14;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
46;10;7;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
47;12;14;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
48;14;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
49;9;5;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
50;4;7;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1

Nb_Served_Demands;50
Nb_Blocked_Demands;0
Nb_Served_Slices;199
Nb_Blocked_Slices;0
