index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;12;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
2;13;11;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
3;13;12;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
4;8;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
5;6;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
6;5;10;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
7;2;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
8;9;4;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
9;11;8;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
10;6;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
11;6;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
12;4;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
13;6;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
14;14;12;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
15;4;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
16;5;7;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
17;14;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
18;5;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
19;10;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
20;10;5;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
21;7;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
22;9;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
23;9;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
24;13;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
25;6;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
26;4;5;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
27;2;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
28;10;8;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
29;14;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
30;7;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
31;12;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
32;6;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
33;12;6;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
34;12;11;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
35;1;8;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
36;2;4;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
37;5;1;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
38;3;10;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
39;8;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
40;9;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
41;4;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
42;2;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
43;10;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
44;12;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
45;9;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
46;6;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
47;8;7;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
48;6;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
49;11;8;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
50;7;13;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
51;10;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
52;13;11;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
53;2;8;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
54;3;2;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
55;2;8;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
56;5;10;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
57;10;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
58;2;5;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
59;14;11;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
60;8;13;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
61;12;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
62;2;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
63;13;11;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
64;11;4;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
65;4;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
66;9;4;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
67;3;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
68;7;5;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
69;8;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
70;5;9;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1

Nb_Served_Demands;70
Nb_Blocked_Demands;0
Nb_Served_Slices;292
Nb_Blocked_Slices;0
