index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;6;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
2;2;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
3;15;1;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
4;16;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
5;6;18;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
6;10;13;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
7;18;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
8;1;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
9;2;11;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
10;15;18;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
11;9;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
12;11;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
13;4;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
14;7;3;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
15;10;8;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
16;9;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
17;15;1;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
18;8;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
19;6;15;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
20;7;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
21;11;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
22;14;5;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
23;8;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
24;1;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
25;8;1;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
26;12;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
27;4;16;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
28;6;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
29;15;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
30;3;6;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1

Nb_Served_Demands;30
Nb_Blocked_Demands;0
Nb_Served_Slices;180
Nb_Blocked_Slices;0
