index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;3;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
2;13;8;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
3;7;17;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
4;16;3;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
5;8;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
6;10;15;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
7;4;3;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
8;3;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
9;13;18;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
10;5;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
11;11;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
12;5;15;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
13;18;3;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
14;10;11;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
15;13;10;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
16;9;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
17;4;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
18;12;1;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
19;13;17;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
20;3;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
21;5;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
22;11;3;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
23;11;7;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
24;2;13;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
25;13;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
26;8;5;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
27;12;1;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
28;8;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
29;1;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
30;7;10;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
31;18;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
32;10;18;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
33;18;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
34;16;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
35;8;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
36;7;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
37;15;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
38;6;3;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
39;17;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
40;1;15;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
41;13;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
42;11;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
43;11;3;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
44;11;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
45;14;9;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
46;7;17;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
47;7;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
48;11;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
49;5;18;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
50;2;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1

Nb_Served_Demands;50
Nb_Blocked_Demands;0
Nb_Served_Slices;297
Nb_Blocked_Slices;0
