index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;12;17;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
2;13;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
3;9;3;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
4;7;5;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
5;16;12;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
6;2;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
7;11;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
8;12;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
9;5;2;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
10;16;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
11;3;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
12;13;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
13;5;1;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
14;14;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
15;3;7;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
16;12;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
17;14;9;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
18;1;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
19;12;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
20;6;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
21;16;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
22;12;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
23;11;3;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
24;16;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
25;6;7;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
26;1;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
27;13;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
28;3;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
29;9;3;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
30;10;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
31;1;13;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
32;8;1;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
33;11;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
34;1;15;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
35;1;14;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
36;6;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
37;9;15;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
38;10;15;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
39;4;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
40;3;15;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
41;1;14;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
42;5;8;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
43;18;8;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
44;5;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
45;5;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
46;3;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
47;6;7;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
48;18;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
49;2;3;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
50;6;17;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
51;7;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
52;12;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
53;7;15;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
54;2;3;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
55;1;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
56;11;18;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
57;5;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
58;17;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
59;10;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
60;4;13;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
61;5;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
62;13;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
63;5;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
64;16;15;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
65;6;10;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
66;1;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
67;10;15;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
68;12;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
