edge_slice_demand;k_1= (17,15,6);k_2= (6,16,6);k_3= (13,7,6);k_4= (6,15,6);k_5= (9,5,6);k_6= (7,13,6);k_7= (2,1,6);k_8= (13,7,6);k_9= (10,17,6);k_10= (15,10,6);
[1,3]; ; ; ; ; ; ;1; ; ; ;
[1,9]; ; ; ; ; ; ; ; ; ; ;
[2,3]; ; ; ; ; ; ;1; ; ; ;
[2,4]; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ; ; ; ; ; ; ; ; ;
[3,5]; ; ; ; ; ; ; ; ; ; ;
[4,5]; ; ; ; ; ; ; ; ; ; ;
[4,10]; ; ; ; ; ; ; ; ; ; ;
[5,9]; ;1; ;1;1; ; ; ; ; ;
[5,10]; ; ; ;1; ; ; ; ; ; ;
[5,11]; ;1; ; ; ; ; ; ; ; ;
[6,7]; ; ; ; ; ; ; ; ; ; ;
[6,9]; ;1; ;1; ; ; ; ; ; ;
[7,8]; ; ;1; ; ;1; ;1; ; ;
[8,9]; ; ; ; ; ; ; ; ; ; ;
[8,11]; ; ;1; ; ;1; ;1; ; ;
[10,11]; ; ; ; ; ; ; ; ; ; ;
[10,13]; ; ; ;1; ; ; ; ;1;1;
[11,12]; ;1; ; ; ; ; ; ; ; ;
[11,13]; ; ;1; ; ;1; ;1; ; ;
[12,14]; ;1; ; ; ; ; ; ; ; ;
[13,15]; ; ; ;1; ; ; ; ; ;1;
[13,17]; ; ; ; ; ; ; ; ;1; ;
[14,15]; ;1; ; ; ; ; ; ; ; ;
[15,16];1;1; ; ; ; ; ; ; ; ;
[16,17];1; ; ; ; ; ; ; ; ; ;
 slice allocation ;14;20;6;7;14;14;6;20;20;14;
