edge_slice_demand;k_1= (12,6,6);k_2= (10,12,6);k_3= (11,16,6);k_4= (2,7,6);k_5= (10,14,6);k_6= (12,14,6);k_7= (4,11,6);k_8= (2,8,6);k_9= (12,8,6);k_10= (6,1,6);k_11= (17,10,6);k_12= (17,16,6);k_13= (9,4,6);k_14= (15,17,6);k_15= (9,4,6);k_16= (10,7,6);k_17= (8,7,6);k_18= (2,4,6);k_19= (9,14,6);k_20= (6,14,6);
[1,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,9]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
[2,3]; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ;
[2,5]; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[3,5]; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[4,5]; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,10]; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;
[5,9]; ; ; ;1; ; ; ;1; ; ; ; ;1; ;1;1; ; ; ; ;
[5,10]; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;
[5,11]; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[6,7];1; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;
[6,9]; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ;
[7,8];1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;
[8,9]; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ;
[8,11];1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1;1;
[10,11]; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[10,13]; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;
[11,12];1;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ;
[11,13]; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[12,14]; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ;
[13,15]; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[13,17]; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;
[14,15]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[15,16]; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[16,17]; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ;
 slice allocation ;24;12;29;30;19;11;21;12;6;12;10;13;18;6;24;6;6;6;18;12;
