edge_slice_demand;k_1= (13,9,6);k_2= (13,1,6);k_3= (9,3,6);k_4= (2,14,6);k_5= (9,6,6);k_6= (13,15,6);k_7= (3,12,6);k_8= (2,6,6);k_9= (6,2,6);k_10= (5,1,6);k_11= (9,3,6);k_12= (11,15,6);k_13= (16,17,6);k_14= (13,5,6);k_15= (5,13,6);k_16= (14,17,6);k_17= (6,7,6);k_18= (1,11,6);k_19= (7,12,6);k_20= (9,7,6);k_21= (13,5,6);k_22= (14,10,6);k_23= (2,10,6);k_24= (10,7,6);k_25= (8,15,6);k_26= (16,7,6);k_27= (10,17,6);k_28= (13,4,6);k_29= (15,14,6);k_30= (10,6,6);k_31= (4,15,6);k_32= (3,9,6);k_33= (15,9,6);k_34= (11,3,6);k_35= (7,17,6);k_36= (9,10,6);k_37= (16,15,6);k_38= (4,15,6);k_39= (2,12,6);k_40= (4,16,6);k_41= (17,9,6);k_42= (4,6,6);k_43= (2,12,6);k_44= (2,12,6);k_45= (10,17,6);k_46= (7,10,6);k_47= (12,17,6);k_48= (17,2,6);k_49= (5,8,6);k_50= (1,12,6);
[1,3]; ;1;1; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[1,9]; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;
[2,4]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;1; ; ; ; ; ; ;
[3,5]; ;1; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;
[4,5]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ;
[4,10]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ;1; ;1; ;1; ; ; ; ; ; ; ; ; ; ;
[5,9]; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ;1; ;1;1; ;
[5,10]; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;
