index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;16;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
2;7;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
3;2;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
4;14;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
5;9;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
6;13;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
7;1;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
8;17;11;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
9;3;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
10;10;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
11;2;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
12;6;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
13;2;14;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
14;5;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
15;2;13;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
16;1;15;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
17;12;2;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
18;3;15;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
19;1;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
20;7;15;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
21;8;3;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
22;16;3;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
23;3;17;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
24;9;17;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
25;5;1;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
26;13;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
27;2;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
28;13;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
29;17;3;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
30;15;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
31;7;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
32;4;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
33;12;15;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
34;3;17;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
35;3;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
36;16;8;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
37;5;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
38;10;14;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
39;1;11;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
40;10;16;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
41;9;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
42;5;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
43;1;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
44;12;14;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
45;6;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
46;15;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
47;3;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
48;13;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
49;14;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
50;7;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
51;1;3;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
52;6;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
53;12;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
54;10;16;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
55;4;14;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
56;1;6;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
57;7;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
58;1;2;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
59;12;6;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
60;17;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
61;1;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
62;4;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
63;10;14;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
