edge_slice_demand;k_1= (2,4,6);k_2= (11,17,6);k_3= (9,10,6);k_4= (14,16,6);k_5= (1,2,6);k_6= (3,17,6);k_7= (14,7,6);k_8= (13,15,6);k_9= (6,15,6);k_10= (4,16,6);k_11= (14,4,6);k_12= (1,13,6);k_13= (11,1,6);k_14= (10,5,6);k_15= (14,3,6);k_16= (10,16,6);k_17= (13,8,6);k_18= (15,9,6);k_19= (4,15,6);k_20= (4,15,6);k_21= (5,9,6);k_22= (3,10,6);k_23= (10,11,6);k_24= (1,15,6);k_25= (3,9,6);k_26= (3,1,6);k_27= (3,4,6);k_28= (12,6,6);k_29= (16,11,6);k_30= (15,3,6);k_31= (8,7,6);k_32= (7,13,6);k_33= (8,1,6);k_34= (12,2,6);k_35= (14,11,6);k_36= (5,13,6);k_37= (14,17,6);k_38= (16,10,6);k_39= (15,11,6);k_40= (10,2,6);k_41= (2,13,6);k_42= (17,4,6);k_43= (8,3,6);k_44= (2,13,6);k_45= (4,12,6);k_46= (3,17,6);k_47= (7,16,6);k_48= (12,9,6);k_49= (15,5,6);k_50= (1,2,6);k_51= (13,17,6);k_52= (4,12,6);k_53= (12,14,6);k_54= (10,16,6);k_55= (15,14,6);k_56= (9,4,6);k_57= (2,8,6);k_58= (4,16,6);k_59= (5,4,6);k_60= (10,7,6);k_61= (8,10,6);k_62= (17,8,6);k_63= (4,12,6);k_64= (3,15,6);k_65= (4,11,6);k_66= (11,1,6);k_67= (14,16,6);k_68= (8,2,6);k_69= (4,12,6);k_70= (16,7,6);k_71= (17,3,6);k_72= (10,16,6);k_73= (3,6,6);k_74= (8,2,6);k_75= (13,16,6);k_76= (9,3,6);k_77= (2,9,6);k_78= (9,17,6);k_79= (1,12,6);k_80= (6,15,6);k_81= (8,15,6);k_82= (2,16,6);k_83= (12,4,6);k_84= (8,2,6);k_85= (1,4,6);k_86= (6,9,6);k_87= (13,10,6);k_88= (2,17,6);k_89= (16,6,6);k_90= (9,10,6);
[1,3]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;
[1,9]; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[2,3]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;
[2,4];1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;
[2,5]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;1; ; ; ; ;1; ;1; ; ; ; ; ; ;
[3,5]; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,5]; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,10]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ;
[5,9]; ; ;1; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1;1; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ;1;1;1;1; ; ; ; ;1; ; ; ; ; ;1;
[5,10]; ; ;1; ; ;1; ; ;1; ; ;1; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;
