edge_slice_demand;k_1= (2,14,3);k_2= (8,3,3);k_3= (5,4,6);k_4= (6,8,6);k_5= (14,13,6);k_6= (4,2,6);k_7= (8,1,6);k_8= (10,7,6);k_9= (12,10,6);k_10= (1,13,3);
[1,2]; ; ; ; ; ; ; ; ; ; ;
[1,3]; ;1; ; ; ; ; ; ; ;1;
[1,8]; ;1; ; ; ; ;1; ; ; ;
[2,3]; ; ; ; ; ; ; ; ; ; ;
[2,4];1; ; ; ; ;1; ; ; ; ;
[3,6]; ; ; ; ; ; ; ; ; ;1;
[4,5]; ; ;1; ; ; ; ; ; ; ;
[4,11];1; ; ; ; ; ; ; ; ; ;
[5,6]; ; ; ;1; ; ; ; ; ; ;
[5,7]; ; ; ;1; ; ; ; ; ; ;
[6,10]; ; ; ; ; ; ; ; ; ; ;
[6,13]; ; ; ; ; ; ; ; ; ;1;
[7,8]; ; ; ;1; ; ; ;1; ; ;
[8,9]; ; ; ; ; ; ; ;1; ; ;
[9,10]; ; ; ; ; ; ; ;1;1; ;
[9,12]; ; ; ; ; ; ; ; ;1; ;
[9,14]; ; ; ; ; ; ; ; ; ; ;
[11,12]; ; ; ; ; ; ; ; ; ; ;
[11,14];1; ; ; ; ; ; ; ; ; ;
[12,13]; ; ; ; ; ; ; ; ; ; ;
[13,14]; ; ; ; ;1; ; ; ; ; ;
 slice allocation ;6;3;6;6;6;12;9;12;6;6;
