index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;13;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
2;6;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
3;11;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
4;12;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
5;14;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
6;4;1;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
7;5;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
8;10;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
9;13;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
10;5;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
11;3;8;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
12;7;2;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
13;3;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
14;8;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
15;2;8;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
16;7;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
17;8;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
18;2;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
19;12;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
20;10;14;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
21;10;14;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
22;9;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
23;10;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
24;2;3;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
25;12;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
26;11;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
27;2;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
28;12;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
29;6;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
30;4;9;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
31;3;10;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
32;3;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
33;4;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
34;4;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
35;12;4;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
36;8;12;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
37;3;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
38;10;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
39;11;6;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
40;14;8;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
41;8;10;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
42;10;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
43;11;13;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
44;8;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
45;14;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
46;12;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
47;5;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
48;9;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
49;14;11;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
50;1;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
51;2;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
52;3;8;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
53;2;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
54;13;5;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
55;6;2;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
56;11;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
57;13;14;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
58;2;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
59;5;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
60;10;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1

Nb_Served_Demands;60
Nb_Blocked_Demands;0
Nb_Served_Slices;294
Nb_Blocked_Slices;0
