edge_slice_demand;k_1= (11,10,6);k_2= (13,7,6);k_3= (12,2,3);k_4= (9,5,6);k_5= (7,12,6);k_6= (11,7,6);k_7= (7,11,6);k_8= (14,3,3);k_9= (10,7,6);k_10= (4,5,6);k_11= (6,7,6);k_12= (4,10,6);k_13= (3,13,3);k_14= (14,3,3);k_15= (12,4,3);k_16= (14,10,6);k_17= (11,4,6);k_18= (13,8,6);k_19= (13,4,3);k_20= (5,12,6);k_21= (13,14,6);k_22= (13,11,6);k_23= (8,2,3);k_24= (2,10,3);k_25= (3,12,3);k_26= (5,10,6);k_27= (9,6,6);k_28= (7,12,6);k_29= (2,7,6);k_30= (8,2,3);k_31= (14,5,6);k_32= (3,11,3);k_33= (9,10,6);k_34= (8,9,6);k_35= (1,9,3);k_36= (2,1,6);k_37= (9,7,6);k_38= (5,1,6);k_39= (5,12,6);k_40= (9,8,6);k_41= (9,14,6);k_42= (9,14,6);k_43= (1,14,3);k_44= (4,8,6);k_45= (2,14,3);k_46= (11,8,6);k_47= (2,10,3);k_48= (12,7,6);k_49= (11,7,6);k_50= (11,3,3);k_51= (12,11,6);k_52= (6,9,6);k_53= (8,5,6);k_54= (6,1,3);k_55= (1,13,3);k_56= (11,10,6);k_57= (13,11,6);k_58= (11,3,3);k_59= (3,8,3);k_60= (11,2,3);
[1,2]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ;1; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ;1; ;
[1,8]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;
[2,3]; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ;1; ; ; ; ; ; ; ;1; ; ;
[2,4]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ;1;
[3,6]; ; ;1; ; ; ; ;1; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ;1;1; ; ; ; ; ;
[4,5]; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,11]; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ;1;
[5,6]; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,7]; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
