edge_slice_demand;k_1= (10,3,3);k_2= (6,11,3);k_3= (5,14,6);k_4= (10,3,3);k_5= (10,8,6);k_6= (9,2,3);k_7= (12,11,6);k_8= (6,4,6);k_9= (12,11,6);k_10= (3,10,3);k_11= (3,8,3);k_12= (13,9,6);k_13= (4,8,6);k_14= (8,11,6);k_15= (13,4,3);k_16= (12,1,3);k_17= (1,3,6);k_18= (2,8,3);k_19= (8,9,6);k_20= (7,11,6);k_21= (7,9,6);k_22= (5,10,6);k_23= (7,4,6);k_24= (12,13,6);k_25= (13,6,6);k_26= (5,8,6);k_27= (11,9,6);k_28= (7,10,6);k_29= (9,13,6);k_30= (5,14,6);k_31= (10,14,6);k_32= (11,7,6);k_33= (6,2,6);k_34= (9,11,6);k_35= (10,12,6);k_36= (5,8,6);k_37= (14,12,6);k_38= (10,2,3);k_39= (13,10,6);k_40= (14,9,6);k_41= (1,10,3);k_42= (3,5,6);k_43= (2,13,3);k_44= (1,9,3);k_45= (2,8,3);k_46= (8,13,6);k_47= (5,8,6);k_48= (10,13,6);k_49= (7,3,3);k_50= (6,10,6);k_51= (4,13,3);k_52= (9,4,6);k_53= (3,12,3);k_54= (9,5,6);k_55= (8,11,6);k_56= (13,6,6);k_57= (14,13,6);k_58= (3,1,6);k_59= (8,2,3);k_60= (5,14,6);k_61= (12,7,6);k_62= (5,4,6);k_63= (1,5,6);k_64= (14,13,6);k_65= (2,5,6);k_66= (14,5,6);k_67= (14,12,6);k_68= (6,1,3);k_69= (4,7,6);k_70= (2,3,6);k_71= (14,13,6);k_72= (5,14,6);k_73= (13,2,3);k_74= (9,6,6);k_75= (7,10,6);k_76= (11,14,6);k_77= (1,10,3);k_78= (12,14,6);k_79= (11,14,6);k_80= (1,13,3);
[1,2]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[1,3]; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ;
[1,8]; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,3]; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ;1;
[2,4]; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[3,6];1; ; ;1; ;1; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ;1; ; ;1;
[4,5]; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[4,11]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,6]; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,7]; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ;1; ;1; ; ; ; ; ;1; ; ; ; ; ;1; ; ;1; ; ;1; ; ; ; ; ; ; ; ;
