edge_slice_demand;k_1= (10,9,3);k_2= (3,8,6);k_3= (15,9,3);k_4= (11,1,6);k_5= (14,4,6);k_6= (13,5,6);k_7= (2,18,4);k_8= (13,4,4);k_9= (15,7,6);k_10= (7,5,6);k_11= (10,12,6);k_12= (12,4,6);k_13= (18,17,3);k_14= (15,10,4);k_15= (8,15,3);k_16= (12,9,6);k_17= (11,4,6);k_18= (9,16,3);k_19= (12,1,6);k_20= (16,10,3);
[1,5]; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,15]; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,17]; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ;
[1,18]; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;
[2,5]; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;
[2,10]; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;
[2,16]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;
[3,5]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[3,6]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[3,11]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[3,18]; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,7]; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[4,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;
[4,12]; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ;1; ; ; ; ;
[4,13]; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[4,15]; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[4,16]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;
[5,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,10]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
[5,18]; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[6,11]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[7,11]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[7,16]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
[8,12]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;
[8,13]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[8,14]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[8,17]; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;
[9,10];1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[9,15]; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[10,16]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1;
[11,16]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;
[12,13]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[13,15]; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[14,17]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[14,18]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[15,17]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[8,15]; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;
 slice allocation ;40;40;40;7;25;40;5;40;40;7;26;40;22;4;40;6;6;40;16;40;
