edge_slice_demand;k_1= (11,2,6);k_2= (17,9,4);k_3= (12,5,6);k_4= (7,10,4);k_5= (6,4,6);k_6= (9,4,3);k_7= (10,13,6);k_8= (11,5,4);k_9= (13,18,6);k_10= (12,17,6);k_11= (6,11,3);k_12= (16,10,3);k_13= (3,8,6);k_14= (2,5,4);k_15= (18,2,4);k_16= (18,11,4);k_17= (17,7,6);k_18= (18,6,4);k_19= (8,16,4);k_20= (3,18,4);k_21= (13,10,6);k_22= (2,9,3);k_23= (3,18,4);k_24= (3,7,6);k_25= (8,2,4);k_26= (2,14,6);k_27= (14,17,4);k_28= (17,14,4);k_29= (6,7,6);k_30= (17,16,6);k_31= (17,12,6);k_32= (17,4,6);k_33= (9,11,6);k_34= (7,2,4);k_35= (12,10,6);k_36= (2,13,6);k_37= (13,18,6);k_38= (7,8,6);k_39= (14,3,6);k_40= (9,3,4);
[1,5]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ;
[1,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ;
[1,15]; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;
[1,17]; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
[1,18]; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;
[2,4];1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;
[2,5]; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,9]; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[2,10]; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,16]; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ;
