index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;17;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
2;16;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
3;8;15;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
4;4;17;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
5;3;10;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
6;8;18;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
7;1;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
8;3;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
9;17;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
10;2;10;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
11;5;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
12;8;1;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
13;13;12;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
14;4;18;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
15;4;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
16;14;7;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
17;12;17;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
18;16;1;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
19;18;8;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
20;18;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
21;18;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
22;15;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
23;8;1;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
24;11;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
25;13;12;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
26;3;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
27;2;15;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
28;13;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
29;14;3;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
30;4;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
31;4;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
32;15;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
33;18;8;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
34;16;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
35;17;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
36;18;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
37;12;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
38;7;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
39;15;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
40;13;3;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
41;15;1;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
42;14;9;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
43;18;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
44;12;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
45;2;8;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
46;14;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
47;14;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
48;10;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
49;2;10;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
50;13;12;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1

Nb_Served_Demands;50
Nb_Blocked_Demands;0
Nb_Served_Slices;234
Nb_Blocked_Slices;0
