edge_slice_demand;k_1= (17,15,3);k_2= (6,16,4);k_3= (13,7,4);k_4= (6,15,4);k_5= (9,5,3);k_6= (7,13,4);k_7= (2,1,3);k_8= (13,7,4);k_9= (10,17,3);k_10= (15,10,3);
[1,3]; ; ; ; ; ; ;1; ; ; ;
[1,9]; ; ; ; ; ; ; ; ; ; ;
[2,3]; ; ; ; ; ; ;1; ; ; ;
[2,4]; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ; ; ; ; ; ; ; ; ;
[3,5]; ; ; ; ; ; ; ; ; ; ;
[4,5]; ; ; ; ; ; ; ; ; ; ;
[4,10]; ; ; ; ; ; ; ; ; ; ;
[5,9]; ;1; ; ;1; ; ; ; ; ;
[5,10]; ;1; ; ; ; ; ; ; ; ;
[5,11]; ; ; ; ; ; ; ; ; ; ;
[6,7]; ; ; ; ; ; ; ; ; ; ;
[6,9]; ;1; ;1; ; ; ; ; ; ;
[7,8]; ; ;1; ; ;1; ;1; ; ;
[8,9]; ; ; ;1; ; ; ; ; ; ;
[8,11]; ; ;1;1; ;1; ;1; ; ;
[10,11]; ; ; ; ; ; ; ; ; ; ;
[10,13]; ;1; ; ; ; ; ; ;1;1;
[11,12]; ; ; ; ; ; ; ; ; ; ;
[11,13]; ; ;1;1; ;1; ;1; ; ;
[12,14]; ; ; ; ; ; ; ; ; ; ;
[13,15]; ;1; ;1; ; ; ; ; ;1;
[13,17]; ; ; ; ; ; ; ; ;1; ;
[14,15]; ; ; ; ; ; ; ; ; ; ;
[15,16];1;1; ; ; ; ; ; ; ; ;
[16,17];1; ; ; ; ; ; ; ; ; ;
 slice allocation ;20;4;19;8;20;13;11;4;14;20;
