edge_slice_demand;k_1= (4,7,4);k_2= (16,14,3);k_3= (10,1,4);k_4= (17,1,4);k_5= (13,8,3);k_6= (11,3,3);k_7= (7,4,4);k_8= (3,13,4);k_9= (15,16,3);k_10= (10,2,3);
[1,3]; ; ;1; ; ; ; ; ; ; ;
[1,9]; ; ; ;1; ; ; ; ; ; ;
[2,3]; ; ; ; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ; ; ; ; ;1;
[2,5]; ; ; ; ; ; ; ; ; ; ;
[3,5]; ; ;1; ; ;1; ;1; ; ;
[4,5];1; ; ; ; ; ;1; ; ; ;
[4,10]; ; ; ; ; ; ; ; ; ;1;
[5,9];1; ; ; ; ; ; ; ; ; ;
[5,10]; ; ;1; ; ; ; ;1; ; ;
[5,11]; ; ; ; ; ;1;1; ; ; ;
[6,7]; ; ; ; ; ; ; ; ; ; ;
[6,9]; ; ; ; ; ; ; ; ; ; ;
[7,8];1; ; ; ; ; ;1; ; ; ;
[8,9];1; ; ;1; ; ; ; ; ; ;
[8,11]; ; ; ;1;1; ;1; ; ; ;
[10,11]; ; ; ; ; ; ; ; ; ; ;
[10,13]; ; ; ; ; ; ; ;1; ; ;
[11,12]; ; ; ; ; ; ; ; ; ; ;
[11,13]; ; ; ;1;1; ; ; ; ; ;
[12,14]; ; ; ; ; ; ; ; ; ; ;
[13,15]; ; ; ; ; ; ; ; ; ; ;
[13,17]; ; ; ;1; ; ; ; ; ; ;
[14,15]; ;1; ; ; ; ; ; ; ; ;
[15,16]; ;1; ; ; ; ; ; ;1; ;
[16,17]; ; ; ; ; ; ; ; ; ; ;
 slice allocation ;4;3;20;20;3;16;12;4;20;3;
