index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;2;4;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
2;11;17;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
3;9;10;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
4;14;16;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
5;1;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
6;3;17;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
7;14;7;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
8;13;15;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
9;6;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
10;4;16;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
11;14;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
12;1;13;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
13;11;1;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
14;10;5;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
15;14;3;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
16;10;16;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
17;13;8;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
18;15;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
19;4;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
20;4;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
21;5;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
22;3;10;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
23;10;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
24;1;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
25;3;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
26;3;1;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
27;3;4;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
28;12;6;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
29;16;11;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
