index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;1;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
2;7;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
3;2;4;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
4;1;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
5;13;4;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
6;9;13;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
7;8;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
8;17;16;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
9;8;17;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
10;2;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
11;14;10;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
12;10;15;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
13;12;1;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
14;3;1;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
15;6;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
16;11;15;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
17;6;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
18;12;17;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
19;4;11;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
20;13;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
21;1;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
22;7;6;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
23;15;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
24;4;1;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
25;17;14;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
26;4;14;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
27;4;10;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
28;11;7;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
29;9;8;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
30;17;13;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
31;17;15;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
32;6;16;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
33;11;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
34;7;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
35;14;6;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
36;17;7;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
37;14;16;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
38;12;3;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
39;16;15;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
40;3;17;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
41;4;8;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
42;11;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
43;15;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
44;14;15;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
45;15;17;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
46;17;16;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
47;1;12;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
48;5;17;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
49;12;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
50;1;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
51;6;3;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
52;14;13;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
53;8;7;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
54;4;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
55;1;7;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
56;16;6;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
57;12;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
