index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;7;9;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
2;13;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
3;8;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
4;11;9;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
5;11;13;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
6;10;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
7;14;4;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
8;1;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
9;11;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
10;14;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
11;10;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
12;3;8;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
13;4;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
14;9;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
15;9;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
16;9;8;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
17;11;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
18;5;9;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
19;14;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
20;6;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
21;3;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
22;11;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
23;12;14;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
24;13;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
25;5;9;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
26;6;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
27;1;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
28;12;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
29;12;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
30;12;11;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
31;9;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
32;6;2;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
33;5;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
34;11;6;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
35;10;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
36;2;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
37;10;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
38;5;9;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
39;8;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
40;1;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1

Nb_Served_Demands;40
Nb_Blocked_Demands;0
Nb_Served_Slices;185
Nb_Blocked_Slices;0
