edge_slice_demand;k_1= (2,9,6);k_2= (5,11,4);k_3= (17,1,6);k_4= (10,11,3);k_5= (1,15,3);k_6= (10,7,6);k_7= (10,8,3);k_8= (12,14,3);k_9= (4,7,4);k_10= (2,18,3);
[1,5]; ; ; ; ; ; ; ; ; ; ;
[1,14]; ; ; ; ; ; ; ; ; ; ;
[1,15]; ; ; ; ;1; ; ; ; ; ;
[1,17]; ; ;1; ; ; ; ; ; ; ;
[1,18]; ; ; ; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ; ; ; ; ; ; ; ;1;
[2,9];1; ; ; ; ; ; ; ; ; ;
[2,10]; ; ; ; ; ; ; ; ; ; ;
[2,16]; ; ; ; ; ; ; ; ; ; ;
[3,5]; ;1; ; ; ; ; ; ; ; ;
[3,6]; ; ; ; ; ; ; ; ; ; ;
[3,11]; ;1; ; ; ; ; ; ; ; ;
[3,18]; ; ; ; ; ; ; ; ; ; ;
[4,7]; ; ; ; ; ; ; ; ;1; ;
[4,9]; ; ; ; ; ; ; ; ; ; ;
[4,12]; ; ; ; ; ; ; ; ; ; ;
[4,13]; ; ; ; ; ; ; ; ; ; ;
[4,15]; ; ; ; ; ; ; ; ; ; ;
[4,16]; ; ; ; ; ; ; ; ; ; ;
[5,9]; ; ; ; ; ; ; ; ; ; ;
[5,10]; ; ; ; ; ; ; ; ; ; ;
[5,18]; ; ; ; ; ; ; ; ; ;1;
[6,11]; ; ; ; ; ; ; ; ; ; ;
[7,11]; ; ; ; ; ; ; ; ; ; ;
[7,16]; ; ; ; ; ;1; ; ; ; ;
[8,12]; ; ; ; ; ; ; ;1; ; ;
[8,13]; ; ; ; ; ; ; ; ; ; ;
[8,14]; ; ; ; ; ; ; ;1; ; ;
[8,17]; ; ; ; ; ; ; ; ; ; ;
[9,10]; ; ; ; ; ; ;1; ; ; ;
[9,15]; ; ; ; ; ; ;1; ; ; ;
[10,16]; ; ; ;1; ;1; ; ; ; ;
[11,16]; ; ; ;1; ; ; ; ; ; ;
[12,13]; ; ; ; ; ; ; ; ; ; ;
[13,15]; ; ; ; ; ; ; ; ; ; ;
[14,17]; ; ; ; ; ; ; ; ; ; ;
[14,18]; ; ; ; ; ; ; ; ; ; ;
[15,17]; ; ; ; ; ; ; ; ; ; ;
[8,15]; ; ; ; ; ; ;1; ; ; ;
 slice allocation ;20;20;20;20;3;6;3;6;4;3;
