index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;17;15;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
2;16;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
3;7;10;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
4;12;6;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
5;14;10;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
6;10;12;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
7;5;14;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
8;1;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
9;13;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
10;7;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
11;1;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
12;12;8;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
13;3;15;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
14;16;11;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
15;5;9;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
16;7;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
17;9;15;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
18;1;17;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
19;7;12;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
20;3;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
21;7;2;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
22;6;3;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
23;6;18;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
24;14;17;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
25;1;2;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
26;2;11;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
27;16;2;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
28;17;14;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
29;6;9;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
30;7;13;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
31;7;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
32;18;15;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
33;13;10;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
34;6;3;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
35;7;13;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
36;14;17;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
37;5;18;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
38;1;5;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
39;17;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
40;6;11;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
41;9;7;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
42;14;15;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
43;7;17;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
44;17;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
45;1;2;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
46;5;16;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
47;11;7;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
48;3;18;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
49;14;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
50;15;3;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
51;3;15;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
52;16;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
53;2;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
54;17;11;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
55;7;17;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
56;5;18;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
57;13;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
58;9;8;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
59;10;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
60;9;2;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
61;4;17;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
62;2;14;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
63;4;8;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
64;3;16;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
65;9;3;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
66;4;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
67;11;3;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
68;9;15;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
69;16;15;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
70;1;12;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1

Nb_Served_Demands;70
Nb_Blocked_Demands;0
Nb_Served_Slices;308
Nb_Blocked_Slices;0
