index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;13;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
2;12;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
3;16;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
4;11;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
5;1;17;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
6;2;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
7;12;3;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
8;3;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
9;9;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
10;4;18;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
11;6;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
12;13;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
13;3;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
14;9;12;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
15;1;12;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
16;2;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
17;10;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
18;18;7;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
19;3;1;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
20;7;10;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
21;12;18;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
22;9;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
23;3;14;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
24;2;16;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
25;2;4;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
26;7;3;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
27;17;3;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
28;2;17;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
29;9;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
30;3;14;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
31;9;8;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
32;14;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
33;11;10;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
34;8;18;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
35;7;11;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
36;16;7;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
37;16;8;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
38;12;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
39;13;12;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
40;9;15;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
41;7;1;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
42;9;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
43;15;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
44;3;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
45;6;10;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
46;13;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
47;14;7;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
48;17;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
49;6;18;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
50;1;18;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
51;16;2;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
52;17;7;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
53;13;6;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
54;16;10;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
55;10;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
56;9;10;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
57;15;13;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
58;2;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
59;10;2;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
60;12;15;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
61;12;4;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
62;7;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
63;7;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
64;8;13;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
65;8;4;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
66;10;18;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
67;18;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
68;9;18;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
69;11;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
70;10;12;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1

Nb_Served_Demands;70
Nb_Blocked_Demands;0
Nb_Served_Slices;332
Nb_Blocked_Slices;0
