edge_slice_demand;k_1= (15,17,6);k_2= (17,11,6);k_3= (16,6,3);k_4= (6,11,6);k_5= (16,12,6);k_6= (9,11,6);k_7= (9,15,3);k_8= (16,11,6);k_9= (3,14,3);k_10= (13,9,6);k_11= (10,7,4);k_12= (7,9,6);k_13= (16,4,6);k_14= (15,11,3);k_15= (3,5,3);k_16= (13,9,3);k_17= (11,4,4);k_18= (1,2,3);k_19= (16,4,6);k_20= (10,13,3);k_21= (2,6,3);k_22= (9,3,3);k_23= (14,2,4);k_24= (10,12,3);k_25= (1,2,3);k_26= (5,8,6);k_27= (7,1,4);k_28= (10,8,6);k_29= (16,11,6);k_30= (6,9,3);k_31= (6,15,4);k_32= (8,10,6);k_33= (3,15,6);k_34= (9,4,6);k_35= (12,10,6);k_36= (1,15,3);k_37= (1,10,6);k_38= (14,3,6);k_39= (16,4,3);k_40= (11,6,6);k_41= (6,13,4);k_42= (17,8,4);k_43= (1,12,3);k_44= (9,4,3);k_45= (4,5,3);k_46= (11,1,6);k_47= (4,16,3);k_48= (12,3,3);k_49= (1,13,3);k_50= (12,9,6);k_51= (5,13,6);k_52= (11,1,4);k_53= (2,15,6);k_54= (16,10,6);k_55= (1,12,3);k_56= (10,11,6);k_57= (6,17,3);k_58= (9,2,6);k_59= (8,9,6);k_60= (6,17,6);k_61= (8,3,6);k_62= (13,6,3);k_63= (8,15,3);k_64= (11,8,3);k_65= (2,6,6);k_66= (4,10,3);k_67= (7,4,3);k_68= (10,2,3);k_69= (15,11,3);k_70= (14,11,6);k_71= (8,11,3);k_72= (16,6,4);k_73= (15,12,6);k_74= (14,7,6);k_75= (5,6,6);k_76= (8,11,3);k_77= (13,6,6);k_78= (1,11,6);k_79= (6,15,3);k_80= (11,8,6);k_81= (12,17,3);k_82= (2,13,4);k_83= (3,12,6);k_84= (2,11,3);k_85= (2,8,4);k_86= (14,3,6);k_87= (15,1,6);k_88= (15,13,3);k_89= (14,2,4);k_90= (12,5,6);k_91= (5,15,6);k_92= (15,4,4);k_93= (10,9,3);k_94= (13,14,3);k_95= (13,10,3);k_96= (11,9,6);k_97= (3,1,6);k_98= (10,12,6);k_99= (17,4,3);k_100= (6,7,6);
[1,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ;
[1,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ;1; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[3,5]; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;1;1; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,5]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,10]; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ;
[5,9]; ; ;1;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ;1; ; ; ; ;1; ;1;1; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[5,10]; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ;
[5,11]; ; ; ;1; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ;1; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1;1; ;1; ; ;1;1;1; ; ; ; ; ; ; ; ; ;
[6,7]; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[6,9]; ; ;1;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[7,8]; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
