edge_slice_demand;k_1= (4,7,4);k_2= (16,14,3);k_3= (10,1,6);k_4= (17,1,6);k_5= (13,8,6);k_6= (11,3,3);k_7= (7,4,4);k_8= (3,13,6);k_9= (15,16,3);k_10= (10,2,3);
[1,3]; ; ;1; ; ; ;1; ; ; ;
[1,9]; ; ; ;1; ; ;1; ; ; ;
[2,3]; ; ;1; ; ; ;1; ; ; ;
[2,4]; ; ;1; ; ; ;1; ; ; ;
[2,5]; ; ; ; ; ; ; ; ; ;1;
[3,5]; ; ; ; ; ;1; ;1; ; ;
[4,5];1; ; ; ; ; ; ; ; ; ;
[4,10]; ; ;1; ; ; ; ; ; ; ;
[5,9];1; ; ;1; ; ; ; ; ; ;
[5,10]; ; ; ; ; ; ; ;1; ;1;
[5,11]; ; ; ;1; ;1; ; ; ; ;
[6,7];1; ; ; ; ; ; ; ; ; ;
[6,9];1; ; ; ; ; ; ; ; ; ;
[7,8]; ; ; ; ; ; ;1; ; ; ;
[8,9]; ; ; ; ; ; ;1; ; ; ;
[8,11]; ; ; ; ;1; ; ; ; ; ;
[10,11]; ; ; ; ; ; ; ; ; ; ;
[10,13]; ; ; ; ; ; ; ;1; ; ;
[11,12]; ; ; ; ;1; ; ; ; ; ;
[11,13]; ; ; ;1; ; ; ; ; ; ;
[12,14]; ; ; ; ;1; ; ; ; ; ;
[13,15]; ; ; ; ;1; ; ; ; ; ;
[13,17]; ; ; ;1; ; ; ; ; ; ;
[14,15]; ;1; ; ;1; ; ; ; ; ;
[15,16]; ;1; ; ; ; ; ; ;1; ;
[16,17]; ; ; ; ; ; ; ; ; ; ;
 slice allocation ;10;9;6;6;6;9;10;6;3;9;
