edge_slice_demand;k_1= (14,6,6);k_2= (10,5,3);k_3= (5,14,3);k_4= (13,2,3);k_5= (14,1,4);k_6= (4,10,3);k_7= (15,8,4);k_8= (17,10,6);k_9= (9,17,3);k_10= (7,12,6);k_11= (3,1,6);k_12= (15,17,3);k_13= (1,13,3);k_14= (5,9,6);k_15= (10,14,3);k_16= (11,4,3);k_17= (11,1,6);k_18= (12,2,6);k_19= (15,3,6);k_20= (6,10,3);k_21= (9,1,3);k_22= (6,7,3);k_23= (11,4,6);k_24= (12,6,3);k_25= (16,6,3);k_26= (3,4,3);k_27= (3,9,3);k_28= (7,17,3);k_29= (9,13,6);k_30= (4,2,6);k_31= (15,3,3);k_32= (7,13,6);k_33= (5,7,6);k_34= (3,9,3);k_35= (8,3,3);k_36= (10,11,3);k_37= (9,6,6);k_38= (6,2,3);k_39= (3,13,3);k_40= (6,12,6);
[1,3]; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ;
[1,9]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ;
[2,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;
[3,5]; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ;
[4,5]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,10]; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,9];1; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ;1; ; ; ;1; ; ;1; ; ; ; ; ;1; ; ; ; ;1; ; ;
[5,10]; ;1; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;
[5,11];1; ;1;1; ; ; ; ; ; ; ; ; ; ; ;1;1;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;
[6,7]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[6,9];1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ;1;1; ;1;
[7,8]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;
[8,9]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ;1;
[8,11]; ; ; ; ;1; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;1; ; ;1; ; ; ; ; ; ; ;1;
[10,11]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;
[10,13]; ; ; ; ; ; ; ;1;1; ; ; ;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;
[11,12];1; ;1; ;1; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[11,13]; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;1; ; ;1; ; ; ; ; ; ;1; ;
[12,14];1; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[13,15]; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;
[13,17]; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[14,15]; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[15,16]; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[16,17]; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 slice allocation ;56;38;74;66;13;3;77;61;64;39;10;3;72;10;27;42;22;48;46;15;6;3;16;80;69;80;30;3;19;6;80;62;46;3;80;3;77;23;33;33;
