edge_slice_demand;k_1= (12,16,6);k_2= (8,5,3);k_3= (16,12,3);k_4= (14,15,3);k_5= (6,5,6);k_6= (7,12,3);k_7= (16,6,4);k_8= (15,8,6);k_9= (10,13,6);k_10= (1,14,3);k_11= (8,3,6);k_12= (12,16,3);k_13= (16,4,4);k_14= (16,10,4);k_15= (2,1,6);k_16= (9,11,6);k_17= (16,13,6);k_18= (8,10,6);k_19= (3,6,3);k_20= (9,12,6);k_21= (9,4,3);k_22= (15,13,6);k_23= (12,4,3);k_24= (10,17,3);k_25= (11,5,3);k_26= (5,9,6);k_27= (15,12,3);k_28= (7,2,3);k_29= (10,13,3);k_30= (5,7,3);k_31= (7,16,3);k_32= (17,16,3);k_33= (17,8,3);k_34= (10,16,4);k_35= (11,12,3);k_36= (9,4,6);k_37= (4,9,6);k_38= (6,2,6);k_39= (9,6,6);k_40= (10,14,3);k_41= (15,5,4);k_42= (8,17,6);k_43= (13,2,6);k_44= (10,14,6);k_45= (3,15,4);k_46= (9,2,3);k_47= (2,7,4);k_48= (12,15,6);k_49= (17,16,3);k_50= (7,11,6);k_51= (6,11,3);k_52= (17,6,6);k_53= (11,9,3);k_54= (10,17,3);k_55= (9,13,3);k_56= (10,17,3);k_57= (17,1,3);k_58= (9,15,4);k_59= (1,5,3);k_60= (17,15,3);
[1,3]; ; ; ; ; ;1; ; ; ; ;1; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ;1; ;1; ;1; ;1; ;1; ;
[1,9]; ; ; ; ; ;1; ; ; ;1;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ;1; ;1; ;1; ; ; ; ; ;
[2,3]; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[3,5]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ;1; ;1; ;1; ;1; ;
[4,5]; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,10]; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,9]; ;1; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;
[5,10]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ;1; ; ; ;
