index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;2;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
2;11;17;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
3;9;10;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
4;14;16;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
5;1;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
6;3;17;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
7;14;7;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
8;13;15;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
9;6;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
10;4;16;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
11;14;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
12;1;13;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
13;11;1;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
14;10;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
15;14;3;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
16;10;16;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
17;13;8;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
18;15;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
19;4;15;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
20;4;15;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
21;5;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
22;3;10;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
23;10;11;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
24;1;15;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
25;3;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
26;3;1;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
27;3;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
28;12;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
29;16;11;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
30;15;3;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
31;8;7;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
32;7;13;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
33;8;1;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
34;12;2;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
35;14;11;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
36;5;13;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
37;14;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
38;16;10;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
39;15;11;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
40;10;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
41;2;13;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
42;17;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
43;8;3;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
44;2;13;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
45;4;12;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
46;3;17;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
47;7;16;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
48;12;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
49;15;5;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
50;1;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
51;13;17;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
52;4;12;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
53;12;14;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
54;10;16;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
55;15;14;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
56;9;4;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
57;2;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
58;4;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
59;5;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
60;10;7;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
61;8;10;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
62;17;8;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
63;4;12;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
64;3;15;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
65;4;11;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
66;11;1;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
67;14;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
68;8;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
69;4;12;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
70;16;7;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
71;17;3;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
72;10;16;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
73;3;6;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
74;8;2;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
75;13;16;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
76;9;3;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
77;2;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
78;9;17;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
79;1;12;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
80;6;15;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
81;8;15;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
82;2;16;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
83;12;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
84;8;2;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
85;1;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
86;6;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
87;13;10;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
88;2;17;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
89;16;6;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
90;9;10;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0

Nb_Served_Demands;0
Nb_Blocked_Demands;90
Nb_Served_Slices;0
Nb_Blocked_Slices;397
