index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;1;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
2;7;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
3;2;4;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
4;1;15;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
5;13;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
6;9;13;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
7;8;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
8;17;16;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
9;8;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
10;2;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
11;14;10;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
12;10;15;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
13;12;1;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
14;3;1;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
15;6;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
16;11;15;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
17;6;2;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
18;12;17;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
19;4;11;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
20;13;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
21;1;2;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
22;7;6;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
23;15;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
24;4;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
25;17;14;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
26;4;14;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
27;4;10;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
28;11;7;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
29;9;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
30;17;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
31;17;15;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
32;6;16;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
33;11;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
34;7;11;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
35;14;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
36;17;7;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
37;14;16;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
38;12;3;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
39;16;15;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
40;3;17;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
41;4;8;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
42;11;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
43;15;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
44;14;15;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
45;15;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
46;17;16;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
47;1;12;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
48;5;17;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
49;12;11;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
50;1;2;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
51;6;3;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
52;14;13;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
53;8;7;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
54;4;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
55;1;7;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
56;16;6;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
57;12;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
58;6;10;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
59;2;6;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
60;9;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
61;16;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
62;7;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
63;11;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
64;15;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
65;13;14;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
66;1;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
67;9;6;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
68;11;6;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
69;14;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
70;15;6;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
71;8;6;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
72;16;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
73;13;9;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
74;11;14;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
75;9;8;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
76;13;5;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
77;5;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
78;16;6;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
79;16;12;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
80;11;12;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
81;10;7;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
82;3;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
83;2;13;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
84;8;15;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
85;12;14;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
86;5;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
87;10;5;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
88;11;8;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
89;10;12;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
90;14;4;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0

Nb_Served_Demands;0
Nb_Blocked_Demands;90
Nb_Served_Slices;0
Nb_Blocked_Slices;405
