edge_slice_demand;k_1= (3,14,3);k_2= (13,1,3);k_3= (9,11,3);k_4= (10,12,6);k_5= (10,12,3);k_6= (2,3,3);k_7= (1,10,3);k_8= (13,9,3);k_9= (5,12,6);k_10= (8,9,4);k_11= (8,9,4);k_12= (1,6,3);k_13= (11,13,3);k_14= (8,11,3);k_15= (11,3,3);k_16= (12,7,6);k_17= (8,12,6);k_18= (13,11,3);k_19= (1,4,6);k_20= (2,14,3);
[1,2]; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ;
[1,3]; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;
[1,8]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,3]; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ;1;
[2,4]; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;1; ;
[3,6];1;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1;
[4,5]; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,11]; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;
[5,6]; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,7]; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[6,10]; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1;
[6,13];1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[7,8]; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ;
[8,9]; ; ; ; ; ; ; ; ;1;1;1; ; ;1; ;1;1; ; ; ;
[9,10]; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[9,12]; ; ; ;1;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;
[9,14]; ; ;1; ; ; ; ;1; ; ; ; ; ;1; ;1; ; ; ;1;
[11,12]; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ;
[11,14]; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[12,13]; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ;1; ; ;
[13,14];1; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ;
 slice allocation ;7;3;6;15;3;3;3;3;23;8;4;19;3;11;13;17;29;20;20;25;
