index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;10;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
2;6;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
3;5;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
4;10;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
5;10;8;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
6;9;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
7;12;11;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
8;6;4;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
9;12;11;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
10;3;10;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
11;3;8;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
12;13;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
13;4;8;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
14;8;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
15;13;4;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
16;12;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
17;1;3;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
18;2;8;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
19;8;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
20;7;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
21;7;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
22;5;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
23;7;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
24;12;13;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
25;13;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
26;5;8;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
27;11;9;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
28;7;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
29;9;13;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
30;5;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
31;10;14;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
32;11;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
33;6;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
34;9;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
35;10;12;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
36;5;8;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
37;14;12;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
38;10;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
39;13;10;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
40;14;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
41;1;10;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
42;3;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
43;2;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
44;1;9;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
45;2;8;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
46;8;13;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
47;5;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
48;10;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
49;7;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
50;6;10;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
51;4;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
52;9;4;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
53;3;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
54;9;5;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
55;8;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
56;13;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
57;14;13;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
58;3;1;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
59;8;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
60;5;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
61;12;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
62;5;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
63;1;5;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
64;14;13;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
65;2;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
66;14;5;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
67;14;12;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
68;6;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
69;4;7;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
70;2;3;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
71;14;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
72;5;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
73;13;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
74;9;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
75;7;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
76;11;14;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
77;1;10;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
78;12;14;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
79;11;14;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
80;1;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1

Nb_Served_Demands;80
Nb_Blocked_Demands;0
Nb_Served_Slices;354
Nb_Blocked_Slices;0
