edge_slice_demand;k_1= (11,4,3);k_2= (3,11,3);k_3= (10,13,6);k_4= (9,2,3);k_5= (14,5,3);k_6= (2,9,3);k_7= (5,10,6);k_8= (8,9,6);k_9= (3,11,3);k_10= (2,11,3);k_11= (10,2,3);k_12= (14,13,3);k_13= (5,4,6);k_14= (8,5,6);k_15= (7,4,3);k_16= (9,2,3);k_17= (8,1,3);k_18= (1,2,3);k_19= (4,7,6);k_20= (10,7,3);k_21= (5,13,3);k_22= (1,3,6);k_23= (4,13,3);k_24= (8,11,3);k_25= (9,10,4);k_26= (4,13,3);k_27= (10,9,4);k_28= (6,4,3);k_29= (5,1,3);k_30= (8,4,6);k_31= (1,8,6);k_32= (14,3,3);k_33= (1,9,3);k_34= (10,3,3);k_35= (2,8,3);k_36= (14,5,6);k_37= (10,4,6);k_38= (7,6,6);k_39= (9,14,3);k_40= (12,9,3);k_41= (1,14,3);k_42= (5,8,6);k_43= (14,9,3);k_44= (14,4,3);k_45= (8,10,3);k_46= (14,10,6);k_47= (6,10,6);k_48= (9,6,6);k_49= (9,8,6);k_50= (14,4,3);k_51= (13,9,3);k_52= (7,4,3);k_53= (9,8,4);k_54= (2,13,3);k_55= (5,3,3);k_56= (10,1,3);k_57= (12,5,3);k_58= (7,13,3);k_59= (3,12,3);k_60= (4,10,6);k_61= (13,6,6);k_62= (9,7,6);k_63= (14,1,3);k_64= (6,2,3);k_65= (8,5,6);k_66= (2,11,3);k_67= (6,3,6);k_68= (2,14,3);k_69= (5,6,4);k_70= (1,12,3);k_71= (1,14,3);k_72= (11,8,6);k_73= (1,8,6);k_74= (1,11,3);k_75= (10,12,6);k_76= (3,10,3);k_77= (11,13,3);k_78= (3,10,3);k_79= (4,11,6);k_80= (7,12,3);k_81= (13,3,3);k_82= (14,3,3);k_83= (9,1,3);k_84= (4,12,3);k_85= (14,1,3);k_86= (14,13,3);k_87= (2,11,3);k_88= (1,7,3);k_89= (10,4,3);k_90= (5,14,3);
[1,2]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;
[1,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ;
[1,8]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,3]; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1;1; ; ;
[2,4]; ; ; ;1; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ;1; ; ; ;1; ; ; ; ;1; ; ;1; ; ;1; ; ; ; ; ; ;1; ; ; ;1; ; ;1; ; ;
[3,6]; ;1; ; ; ;1; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;1; ;1; ; ; ;1;1; ; ; ;1; ; ; ;
[4,5]; ; ; ; ; ; ; ; ; ;1;1; ;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ;
[4,11];1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ;1; ; ; ;1; ; ; ; ;1; ; ;1; ; ;1; ; ; ; ;1; ;1; ; ;1;1; ; ; ; ; ;
[5,6]; ; ; ; ;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;
[5,7]; ; ; ; ; ; ; ; ; ;1; ; ; ;1;1; ; ; ;1; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;
