LinkS;TranspS;Instance;Demands;UB;LB;GAP;Time;OF;Formulation;CD;OSNR;GNpy;Bands;Reinforcements;Cuts;Prepro;PreproTime;Variables;Constraints;v0;preproC;Paths;FeasibleC;InfeasibleC;OnlyOsnrC;OnlyReachC;FeasibleL;InfeasibleL;OnlyOsnrL;OnlyReachL;ads;dcb;llb;nlus;slus;suld;trl;tus;tase
2x;efficient;European_18_40;20-b;228.000000;228.000000;0.000000;0.320000;3;0;1;1;0;1;0;0;2;1.144888;7035;14820;56965;0;0;0;0;0;0;22071;12337;2;0;20;20;0;40;771;38;21507.000000;228;16416.666667
2x;efficient;Nsfnet_14_21;30;300.000000;300.000000;0.000000;0.358000;3;0;1;1;0;1;0;0;2;1.426214;11374;23370;64226;0;0;0;0;0;0;21937;-16764879;2;0;30;30;0;60;1106;58;59700.000000;300;32233.333333
2x;efficient;Nsfnet_14_21;20-b;36.000000;36.000000;0.000000;1.109000;8;0;1;1;0;1;0;0;2;0.481381;6320;10800;27281;0;0;0;0;0;0;0;-1133871366;0;808333371;20;20;0;36;437;48;46700.000000;231;24783.333333
2x;efficient;Nsfnet_14_21;20;15.000000;15.000000;0.000000;1.922000;8;0;1;1;0;1;0;0;2;0.554786;8924;10800;24677;0;0;0;0;0;0;0;-1133871366;0;809186615;20;20;0;15;277;52;57700.000000;231;27916.666667
2x;efficient;Nsfnet_14_21;50-b;483.000000;483.000000;0.000000;1.973000;3;0;1;1;0;1;0;0;2;7.401340;45743;62950;164257;0;0;0;0;0;0;21894;52;1;0;50;50;0;100;2051;104;114100.000000;483;58783.333333
2x;efficient;European_18_40;20;12.000000;12.000000;0.000000;0.880000;8;0;1;1;0;1;0;0;2;1.141756;7596;14840;56405;0;0;0;0;0;0;21860;55;1;0;20;20;0;12;294;44;24715.000000;264;17383.333333
2x;efficient;Nsfnet_14_21;60-b;651.000000;651.000000;0.000000;3.229000;3;0;1;1;0;1;0;0;2;13.511110;71284;89940;231116;0;0;0;0;0;0;22059;13361;2;0;60;60;0;120;2513;137;155300.000000;651;75816.666667
2x;efficient;Nsfnet_14_21;60;735.000000;735.000000;0.000000;4.876000;3;0;1;1;0;1;0;0;2;13.303461;69173;89940;233227;0;0;0;0;0;0;21884;13105;2;0;60;60;0;120;2377;150;153900.000000;735;75133.333333
2x;efficient;Nsfnet_14_21;30-b;54.000000;54.000000;0.000000;19.564000;8;0;1;1;0;1;0;0;2;1.602227;15643;23400;59958;0;0;0;0;0;0;21919;-65480;1;0;30;30;0;54;847;75;73000.000000;363;37466.666667
2x;efficient;Nsfnet_14_21;70;747.000000;747.000000;0.000000;3.161000;3;0;1;1;0;1;0;0;2;19.555596;76797;121730;334803;0;0;0;0;0;0;22018;12849;2;0;70;70;0;140;2873;148;160100.000000;747;81400.000000
2x;efficient;Nsfnet_14_21;80-b;882.000000;882.000000;0.000000;7.910000;3;0;1;1;0;1;0;0;2;27.943696;114672;158320;422928;0;0;0;0;0;0;22039;52;1;0;80;80;0;160;3194;181;184500.000000;882;97750.000000
